agu A股
ddso 吊索
ddsoe 打哆嗦
ddsp 吊丧
ddspi 叼上
ddsr 大多数人
ddss 多多少少
ddssi 跌打损伤
ddssu 躲躲闪闪
ddst 鞑靼斯坦
ddsu 雕塑
ddsue 大多数
ddsuu 貂鼠
ddsy 地动山摇
ddt 导弹艇
ddta 吊塔
ddtd 敌对态度
ddtg 大大提高
ddth 钓台
ddthi 点滴体会
ddti 滴滴涕
ddtj 吊毯
ddtl 吊桶
ddtp 大胆突破
ddtr 掉头
ddtri 点点头
ddts 大胆探索
ddtu 钓徒
ddve 刁恶
ddvj 雕鞍
ddvu 钓饵
ddw 东帝汶
ddwb 地大物博
ddwj 刁顽
ddwji 党的文件
ddwn 吊文
ddwp 调往
ddwpa 对等网
ddww 调为
ddwwu 胆大妄为
ddwwuu 敌敌畏
ddwx 当代文学
ddwz 点到为止
ddx 咚咚响
ddxc 雕像
ddxce 东躲西藏
ddxco 断点续传
ddxcu 代代相传
ddxcuu 代代相承
ddxd 吊销
ddxf 掉线
ddxg 导电性
ddxh 掉血
ddxl 貂熊
ddxs 掉下
ddxse 大胆吸收
ddxt 掉眩
ddxw 东倒西歪
ddxx 凋谢
ddxxe 大大小小
ddxxo 断断续续
ddxxu 胆大心细
ddxy 调驯
ddxz 党的性质
ddy 单打一
ddya 掉牙
ddyb 雕印
ddyc 道地药材
ddyh 调阅
ddyi 吊椅
ddyie 地动仪
ddyj 调研
ddyje 大跌眼镜
ddyl 调用
ddym 独当一面
ddyp 刁羊
ddypu 倒打一耙
ddys 多多益善
ddysi 当代意识
ddyt 窎远
ddyti 督导员
ddyto 调度员
ddyu 钓鱼
ddyv 钓鱼
ddyy 调运
ddyz 调阅
ddza 掉渣
ddzc 吊装
ddzci 党的政策
ddzcu 独到之处
ddze 吊着
ddzfi 当地政府
ddzh 掉在
ddzhu 独断专横
ddzi 调子
ddzie 打底子
ddzio 调职
ddzj 地道战
ddzje 大道至简
ddzju 多多指教
ddzk 雕凿
ddzke 大打折扣
ddzl 吊钟
ddzm 多动症
ddzn 吊针
ddzo 雕琢
ddzp 大队长
ddzq 大大增强
ddzr 调走
ddzro 单刀直入
ddzt 掉转
ddzta 刁钻
ddzu 吊柱
ddzue 东道主
ddzueu 顶得住
ddzv 吊坠
ddzw 低等植物
ddzx 独断专行
ddzy 打定主意
ddzye 带电作业
ddzz 跌跌撞撞
ddzzo 端端正正
deba 的吧
debd 得标
debg 得病
debi 德比
debk 的报
debn 的本
debo 嘚啵
dech 的菜
deck 德操
decl 得宠
declu 得从
decm 得逞
decp 的长
dect 的船
decu 得出
decy 的村
deda 的达
dede 得得
dedg 的定
dedk 得到
dedo 得多
dedp 得当
dedr 德都
dedv 得对
defa 得法
defn 得分
defp 德方
degn 的根
dego 德国
dehe 的和
dehh 德海
dehk 得好
dehl 的宏
dehn 得很
dehr 德厚
dehs 的话
dejb 得劲
dejc 得奖
dejf 得见
dejg 的井
dejh 的决
deji 德基
dejq 得救
dejs 的家
dejy 德军
dejz 的决
deka 的卡
deke 的课
dekg 得快
dekk 得靠
dekl 得空
dekt 的款
dekv 得亏
dela 得啦
deld 得了
delf 的脸
delg 得令
delh 得来
deli 得力
deliu 得利
dell 德隆
delu 的路
dema 的吗
demm 的梦
dena 德纳
dene 的呢
deni 的你
denm 得能
depd 得票
deqb 的亲
deqd 的桥
deqg 的情
deqi 的棋
deqq 得球
deri 德日
derl 得荣
dern 的人
deru 德汝
dery 德润
dese 得瑟
desi 得失
desiu 的死
desl 德颂
desm 得胜
desn 得神
deso 的说
desp 得上
desr 得手
desu 的书
deth 的台
deti 得体
deto 得脱
detu 的图
detv 的腿
devj 得按
devu 得儿
dewn 德文
dewp 的网
dexb 的心
dexg 德性
dexi 得悉
dext 德选
deya 的呀
deyb 德音
deyg 的鹰
deyi 得以
deyiu 得意
deyk 的药
deyp 德阳
deyr 的有
deyt 德元
deyu 德语
deyv 德语
deyy 德云
deze 得着
dezeu 德泽
dezi 得知
deziu 得志
deziuo 的字
dezl 的种
dezlu 德宗
dezm 德政
dezn 德镇
dezp 的账
dezr 德州
dezu 得主
dezv 得罪
dfba 电霸
dfbd 电表
dfbf 电变
dfbg 点兵
dfbgu 多发病
dfbh 电白
dfbi 点笔
dfbii 电笔
dfbj 垫板
dfbk 电报
dfbki 电饭煲
dfbl 挡风玻璃
dfble 东方不亮西方亮
dfblu 低分辨率
dfbm 电泵
dfbn 殿本
dfbo 颠簸
dfboi 点播
dfbp 电棒
dfbu 垫布
dfbw 垫背
dfby 地方保护主义
dfca 点茶
dfce 电车
dfch 点菜
dfci 电池
dfcii 电磁
dfcj 电铲
dfck 垫草
dfcki 点钞
dfcl 典崇
dfcn 垫衬
dfco 点错
dfcp 电厂
dfcpi 典藏
dfct 电传
dfcu 点出
dfcy 殿春
dfcz 地方财政
dfda 电大
dfde 点的
dfdee 地方的
dfdf 点点
dfdg 奠定
dfdge 大富大贵
dfdi 点滴
dfdie 垫底
dfdj 单发动机飞机
dfdk 颠倒
dfdl 电动
dfdle 大风大浪
dfdm 电灯
dfdo 点多
dfdp 典当
dfdu 点读
dfdue 大幅度
dfdui 电镀
dfdw 地方党委
dffa 点发
dffg 地方法规
dffj 典范
dffm 巅峰
dffn 淀粉
dffp 店方
dffu 颠覆
dffue 垫付
dffw 电费
dfgc 电光
dfge 点歌
dfgj 电杆
dfgk 电告
dfgm 大放光明
dfgo 点过
dfgoi 电饭锅
dfgs 电挂
dfgt 电官
dfgte 地方官
dfgteo 大法官
dfgu 典故
dfgy 电棍
dfgye 地方工业
dfh 地方话
dfhc 电荒
dfhce 大发横财
dfhe 点和
dfhh 垫还
dfhj 电焊
dfhk 点好
dfhl 滇红
dfhm 点横
dfhn 杜夫海纳
dfho 点火
dfhs 电话
dfhv 电汇
dfhw 得分后卫
dfhy 多方呼吁
dfhz 洞房花烛
dfjc 点将
dfjce 大放厥词
dfjd 垫脚
dfjf 电检
dfjg 点睛
dfji 点击
dfjii 电机
dfjiie 电击
dfjio 惦记
dfjioe 奠基
dfjj 地方经济
dfjq 碘酒
dfjs 电价
dfjsi 党风建设
dfjx 窦房结
dfjy 殿军
dfjye 地方军
dfka 点卡
dfkc 癫狂
dfkce 东方快车
dfke 佃客
dfkg 垫块
dfkh 点开
dfkj 点勘
dfkl 电控
dfkp 电抗
dfkt 垫款
dfkv 殿魁
dflc 点亮
dfld 电疗
dfle 点了
dflf 电联
dflg 电铃
dflh 点来
dfli 电力
dflj 电缆
dflq 电流
dflt 大发雷霆
dflu 电路
dfly 典论
dfm 单方面
dfma 电码
dfmd 点秒
dfmf 店面
dfmfu 多方面
dfmfuo 等方面
dfmg 点名
dfmh 典卖
dfmj 电镘
dfmk 点卯
dfmn 店门
dfmo 电摩
dfmu 点目
dfmw 电煤
dfmwo 淀粉酶
dfmx 顶风冒雪
dfmz 东方明珠
dfn 豆腐脑
dfna 电纳
dfnf 惦念
dfnj 滇南
dfnk 电脑
dfnl 佃农
dfnm 电能
dfnq 电钮
dfnt 电暖
dfpg 点评
dfpgi 电瓶
dfpi 大腹皮
dfpk 点炮
dfpn 电喷
dfpo 点破
dfpp 大腹便便
dfpq 大发脾气
dfpu 店铺
dfpz 地方品种
dfqc 东风汽车
dfqd 电洽
dfqi 电器
dfqie 达芬奇
dfqq 点球
dfqt 垫圈
dfqu 点去
dfque 东风区
dfqv 东风区
dfqx 颠茄
dfr 东方人
dfre 电热
dfrj 点燃
dfrl 电容
dfrn 东方人
dfrt 电软
dfru 玷辱
dfrue 豆腐乳
dfs 地方时
dfsa 点杀
dfse 点射
dfsi 电视
dfsia 登封市
dfsie 东方市
dfsii 电死
dfsj 电扇
dfsji 电风扇
dfsk 东方时空
dfsl 大放送
dfso 电锁
dfsp 垫上
dfspe 地方上
dfsr 点收
dfsre 大丰收
dfss 地方税收
dfst 点算
dfsu 点数
dfsue 带分数
dfsv 点水
dfsve 地方税
dfsw 答非所问
dfth 电台
dfti 电梯
dftl 电筒
dftp 殿堂
dftr 点头
dfts 地方特色
dftx 垫铁
dfva 点啊
dfve 佃额
dfvu 点儿
dfw 丢饭碗
dfwh 店外
dfwj 电玩
dfwm 大富翁
dfwn 电文
dfwp 电网
dfwpe 东方网
dfwu 玷污
dfww 点位
dfwwe 大范围
dfwwu 多方位
dfxb 电信
dfxbi 点心
dfxd 点校
dfxf 电线
dfxfe 担风险
dfxg 典型
dfxge 地方性
dfxgi 电负性
dfxgu 多发性
dfxh 点穴
dfxi 滇西
dfxie 地方戏
dfxs 殿下
dfxt 点选
dfxy 电讯
dfya 典雅
dfyc 大放异彩
dfyf 东风压倒西风
dfyg 电影
dfyh 点阅
dfyj 电唁
dfyk 电邀
dfyr 电邮
dfyt 电源
dfyu 殿宇
dfyv 殿宇
dfyy 典运
dfyz 点阅
dfza 电闸
dfzc 点状
dfze 垫着
dfzei 典则
dfzf 地方政府
dfzh 点在
dfzi 电子
dfzie 垫支
dfzj 电站
dfzja 登峰造极
dfzje 大发展
dfzjeo 大方之家
dfzji 点赞
dfzk 店招
dfzki 点着
dfzkia 电召
dfzkie 点招
dfzkio 电灶
dfzl 点钟
dfzm 点整
dfzn 点阵
dfzo 电灼
dfzp 典章
dfzpo 滇藏
dfzr 淀帚
dfzro 道法自然
dfzt 电转
dfzti 电钻
dfzu 电阻
dfzuo 店主
dfzv 点缀
dfzve 顶风作案
dgba 丁坝
dgbd 定标
dgbdu 多国部队
dgbf 定编
dgbfe 打个比方
dgbfeu 打狗棒法
dgbh 顶拜
dgbi 定比
dgbj 顶班
dgbje 杜工部集
dgbk 订报
dgbn 丁苯
dgbo 碇泊
dgbp 顶棒
dgbt 当归补血汤
dgbu 顶部
dgc 胆固醇
dgcc 疔疮
dgce 丁册
dgceo 订车
dgcj 订餐
dgcjo 定产
dgcl 定从
dgcm 顶层
dgco 顶错
dgcp 定长
dgcr 丁丑
dgct 顶穿
dgcu 定出
dgcv 钉锤
dgcy 定存
dgd 大哥大
dgda 大哥大
dgdd 定调
dgdde 动感地带
dgde 顶的
dgdeu 德国的
dgdf 定点
dgdg 丁丁
dgdh 顶戴
dgdj 订单
dgdk 订到
dgdke 都感到
dgdl 叮咚
dgdle 大股东
dgdm 顶灯
dgdmo 单根独苗
dgdo 顶多
dgdp 叮当
dgdt 顶端
dgdu 定都
dgdv 丁对
dgf 大锅饭
dgfa 顶阀
dgfj 大锅饭
dgfm 顶峰
dgfn 订份
dgfp 订房
dgfw 鼎沸
dggc 大功告成
dgge 定格
dggh 顶盖
dggj 顶杆
dggk 定稿
dggl 顶功
dggm 定更
dggn 丁关根
dggo 定国
dggp 定岗
dggr 订购
dggre 达官贵人
dggs 顶呱呱
dggse 顶刮刮
dggt 顶管
dggu 顶骨
dggv 定规
dggve 打光棍儿
dggy 打光棍
dghe 顶盒
dghh 定海
dghk 订好
dgho 订货
dghs 订花
dght 顶换
dghv 定会
dghy 订婚
dghz 刀耕火种
dgjb 定金
dgjc 定将
dgjd 顶角
dgjf 顶尖
dgjg 定睛
dgji 顶级
dgjs 定价
dgju 定居
dgjv 定居
dgjx 定结
dgjy 刀光剑影
dgke 定可
dgkh 顶开
dgkp 顶抗
dgkr 钉扣
dgkre 打狗看主人
dgl 度过了
dglc 定量
dgle 定了
dglee 戴高乐
dglg 定陵
dglh 递过来
dglhu 倒过来
dgli 定力
dglie 顶礼
dglii 鼎力
dgliio 鼎立
dglio 订立
dglioe 定理
dglioo 定礼
dgliou 定例
dgliu 多公里
dglk 钉牢
dglr 顶楼
dglv 定律
dglve 大功率
dglvi 电功率
dglw 丁类
dgly 定论
dgm 大规模
dgmd 定苗
dgmg 定名
dgmge 大革命
dgmj 订满
dgmk 丁卯
dgmke 戴高帽
dgmku 德国马克
dgml 大规模集成电路
dgmm 订盟
dgmn 顶门
dgmne 东宫门
dgmo 大规模
dgmq 大规模杀伤性武器
dgmw 打工妹
dgna 定拿
dgne 定呢
dgnf 丁年
dgng 叮咛
dgngo 度过难关
dgnh 订奶
dgnj 定南
dgnm 定能
dgnmu 多功能
dgnq 顶牛
dgnt 多功能厅
dgpa 钉耙
dgpb 顶品
dgpd 订票
dgpf 定偏
dgpg 顶屏
dgph 顶派
dgpi 顶批
dgpj 盯盘
dgpk 顶跑
dgpm 顶棚
dgqb 定亲
dgqc 钉枪
dgqf 定钱
dgqg 定情
dgqgu 得过且过
dgqh 丁炔
dgqi 定期
dgqie 大概齐
dgqq 地滚球
dgqt 丁醛
dgqu 对过去
dgque 东港区
dgqv 对过去
dgqve 东港区
dgr 登革热
dgre 登革热
dgri 定日
dgrj 定然
dgrn 钉人
dgrnu 德国人
dgrp 定让
dgru 钉入
dgrx 地广人稀
dgs 打官司
dgsd 帝国时代
dgse 顶射
dgsh 电光石火
dgsi 定时
dgsiu 狄更斯
dgsk 盯梢
dgsm 鼎盛
dgsn 定神
dgso 顶索
dgsoo 定说
dgsp 盯上
dgsr 定收
dgst 丁酸
dgste 达格斯坦
dgsu 定数
dgsuo 定速
dgsv 定税
dgsy 定损
dgtf 顶天
dgti 顶替
dgtj 顶坛
dgtk 定陶
dgtl 丁酮
dgto 顶托
dgtr 顶头
dgtx 顶帖
dgva 顶啊
dgve 定额
dgvf 打高尔夫
dgvj 定案
dgw 党工委
dgwj 顶碗
dgwn 盯问
dgws 大公无私
dgwu 定物
dgww 定位
dgwz 德高望重
dgx 地高辛
dgxb 定心
dgxc 定向
dgxd 定销
dgxf 等高线
dgxg 定型
dgxh 电工学
dgxi 定西
dgxl 顶凶
dgxs 定下
dgxsu 多管闲事
dgxt 定旋
dgxx 钉鞋
dgxxu 倒戈相向
dgxz 电工学
dgy 大工业
dgya 顶呀
dgyb 定音
dgyc 道高一尺
dgyd 单光源电子闪光灯
dgye 大工业
dgyg 定影
dgyh 订阅
dgyha 登高一呼
dgyi 定义
dgyj 定眼
dgyk 叮咬
dgyl 顶用
dgyp 定样
dgyr 订有
dgyt 定员
dgyte 大观园
dgyu 定于
dgyv 定于
dgyz 订阅
dgyzo 道高一尺，魔高一丈
dgzc 顶撞
dgze 盯着
dgzeo 定责
dgzh 定在
dgzhe 丁寨
dgzi 定制
dgzie 大个子
dgziu 钉子
dgziue 低工资
dgziuu 低估值
dgzj 订展
dgzk 订造
dgzl 顶踵
dgzle 丁总
dgzm 订正
dgzn 顶针
dgzo 定做
dgzp 顶账
dgzr 定州
dgzu 叮嘱
dgzue 顶住
dgzui 鼎足
dgzy 帝国主义
dhb 电话簿
dhba 带吧
dhbd 代表
dhbf 代编
dhbg 带病
dhbi 代笔
dhbj 代办
dhbje 大惑不解
dhbn 呆笨
dhbu 逮捕
dhbw 代北
dhc 大合唱
dhca 待查
dhce 待测
dhcee 带车
dhcf 电话采访
dhch 带材
dhci 代词
dhcii 呆痴
dhcj 待产
dhck 带操
dhcku 待超
dhcl 待从
dhclu 待冲
dhcm 代称
dhcp 大合唱
dhcr 呆愁
dhcre 搭虎绸
dhct 待传
dhcu 带出
dhcv 打黑除恶
dhcx 电话查询
dhcz 电话传真
dhd 大会的
dhda 带大
dhdd 带调
dhde 代的
dhdf 带点
dhdg 待定
dhdh 代代
dhdi 呆地
dhdj 大喊大叫
dhdk 带到
dhdl 带动
dhdle 大红大绿
dhdo 怠惰
dhdp 骀荡
dhdu 歹毒
dhdv 带队
dhdw 大轰大嗡
dhdy 呆钝
dhdz 大红大紫
dhdzu 德宏傣族景颇族自治州
dhf 大后方
dhfa 代发
dhfj 带饭
dhfju 倒海翻江
dhfm 带风
dhfn 带分
dhfp 大后方
dhft 大黄附子汤
dhfu 大夫
dhfw 戴妃
dhfwi 电话费
dhfwio 电话服务
dhge 带个
dhgf 单鹄寡凫
dhgh 待改
dhgj 党和国家
dhgl 怠工
dhgli 电焊工
dhgm 代耕
dhgn 带根
dhgo 带过
dhgp 待岗
dhgr 代沟
dhgri 党和国家领导人
dhgs 呆瓜
dhgt 代管
dhgto 单簧管
dhgu 待估
dhgw 带给
dhgx 对华关系
dhha 打哈哈
dhhg 带坏
dhhh 灯火辉煌
dhhj 电弧焊接
dhhk 代号
dhhm 电话号码
dhho 带火
dhhr 待后
dhhs 大好河山
dhhsi 电火花
dhht 待换
dhhte 大回环
dhhu 代呼
dhhv 带回
dhhvo 订货会
dhhy 待婚
dhhyi 电话会议
dhj 电话间
dhjb 带进
dhjc 代讲
dhjd 代交
dhjde 东海舰队
dhjf 电话间
dhjg 代京
dhjgu 低合金钢
dhjh 待决
dhji 待机
dhjie 打火机
dhjii 电话机
dhjiio 电焊机
dhjj 电话交换机
dhjl 灯红酒绿
dhjm 大好局面
dhjq 待久
dhjs 代价
dhjse 带回家
dhjt 怠倦
dhjtu 独活寄生汤
dhju 电话局
dhjv 电话局
dhjx 待解
dhjxi 电化教学
dhjy 带菌
dhjyi 电化教育
dhjz 待决
dhk 电话卡
dhka 电话卡
dhkc 对话框
dhke 代课
dhkh 代开
dhkk 代考
dhkn 戴肯
dhkr 代扣
dhkt 贷款
dhld 待料
dhlde 大活络丹
dhle 带了
dhlf 带练
dhlg 带领
dhlh 带来
dhli 代理
dhlj 德黑兰
dhlk 代劳
dhll 大汗淋漓
dhlm 呆愣
dhlp 丢魂落魄
dhls 调虎离山
dhlt 大祸临头
dhlu 带路
dhlue 打呼噜
dhlv 兑换率
dhlw 带泪
dhly 动滑轮
dhlyo 定滑轮
dhlz 大海捞针
dhm 多画面
dhma 代码
dhmb 戴敏
dhmd 岱庙
dhmf 袋面
dhmg 待命
dhmge 大韩民国
dhmh 代买
dhmi 黛米
dhmj 怠慢
dhmk 戴帽
dhmq 打诨骂俏
dhmt 大黄牡丹汤
dhmw 黛眉
dhmy 对华贸易
dhmz 大和民族
dhnb 带您
dhnd 呆鸟
dhnf 歹念
dhni 带你
dhnj 埭南
dhnw 带内
dhp 动画片
dhpb 待聘
dhpf 动画片
dhpi 待批
dhpk 代庖
dhpo 带破
dhpv 动画片儿
dhpw 代培
dhq 打哈欠
dhqc 带枪
dhqd 待敲
dhqf 带钱
dhqg 怠情
dhqi 带起
dhqii 点火器
dhqj 大会期间
dhqq 带球
dhqs 大获全胜
dhqt 兑换券
dhqu 带去
dhque 带回去
dhqui 鼎湖区
dhquo 定海区
dhqv 带回去
dhqvi 鼎湖区
dhqvo 定海区
dhqx 带挈
dhqy 代群
dhrj 大户人家
dhrk 戴娆
dhrm 党和人民
dhrn 待人
dhru 带入
dhrz 对号入座
dhsa 呆傻
dhse 带色
dhsg 大好时光
dhsi 大好事
dhsii 当回事
dhsio 敦化市
dhsiu 德惠市
dhsj 怠散
dhsji 鼎湖山
dhsju 岱山
dhsl 待送
dhsm 戴胜
dhsn 待审
dhso 导火索
dhsp 带上
dhsr 代收
dhsu 袋鼠
dhsue 带速
dhsv 带水
dhta 带她
dhtf 戴天
dhtg 代听
dhti 代替
dhtj 待摊
dhtk 带套
dhtl 订合同
dhtm 灯火通明
dhto 带托
dhtp 大会堂
dhtr 带头
dhtt 带团
dhtu 歹徒
dhtv 待退
dhve 黛蛾
dhvj 待俺
dhvu 戴尔
dhvua 对号儿
dhvue 大伙儿
dhwj 代湾
dhwn 代问
dhwo 待我
dhww 代为
dhxb 带薪
dhxc 带向
dhxd 代销
dhxf 电话线
dhxfo 断鹤续凫
dhxg 代行
dhxh 带血
dhxhi 电化学
dhxi 黛溪
dhxj 大呼小叫
dhxq 待修
dhxs 带下
dhxse 大好形势
dhxsi 电化学腐蚀
dhxu 待续
dhxx 代谢
dhxy 代训
dhxz 电化学
dhyb 代印
dhye 待业
dhyeu 等行业
dhyg 待迎
dhyh 岱岳
dhyi 歹意
dhyj 代言
dhyk 带药
dhyl 代用
dhyp 代养
dhyr 带有
dhys 大喝一声
dhyt 代远
dhyu 待遇
dhyue 大黄鱼
dhyv 待遇
dhyve 大黄鱼
dhyy 代运
dhyz 岱岳
dhyze 地黄饮子
dhz 对话者
dhzc 袋装
dhzca 对华政策
dhze 带着
dhzf 党和政府
dhzh 呆在
dhzi 袋子
dhzii 呆滞
dhzj 呆站
dhzje 大会战
dhzji 电话总机
dhzk 待诏
dhzl 带中
dhzlu 岱宗
dhzm 代征
dhzmu 待增
dhzn 戴震
dhzo 呆坐
dhzp 呆账
dhzr 带走
dhzs 妒火中烧
dhzt 待转
dhzu 逮住
dhzuu 傣族
dhzv 戴罪
dhzy 调和主义
diba 第八
dibd 地表
dibf 底边
dibg 敌兵
dibh 迪拜
dibj 地板
dibk 低保
dibo 抵拨
dibp 地磅
dibu 地步
dibw 低倍
dibx 地鳖
dica 地插
dice 底册
dich 地财
dici 地磁
dicj 地产
dicje 地蚕
dick 低潮
dicke 地槽
dicl 抵充
dicm 底层
dicme 地秤
dicn 低沉
dicp 底舱
dicpe 抵偿
dict 嫡传
dicu 抵触
dicv 低垂
dicvo 滴翠
dida 抵达
didd 低调
dide 地的
didf 地点
didg 抵顶
didh 地带
didi 弟弟
didj 底单
didk 地道
didl 地洞
didm 低等
didp 低档
didr 地豆
didt 地段
didu 低度
didv 敌对
difa 底阀
difn 低分
difp 地方
difu 地府
difw 地肥
digc 地广
dige 的哥
digj 地干
digk 底稿
digl 地宫
digm 堤埂
dign 地根
digo 帝国
digp 抵港
digr 地沟
digs 地瓜
digu 低估
digv 递归
digw 递给
dihc 帝皇
dihe 地核
dihh 敌害
dihk 低耗
diho 底货
dihr 敌后
dihs 迪化
diht 抵还
dihu 地和
dihv 诋毁
dijb 递进
dijc 递降
dijd 递交
dijde 地窖
dijf 递减
dijg 抵京
dijh 嫡觉
diji 低级
dijq 第九
dijs 低价
dijt 底卷
diju 抵拒
dijv 抵拒
dijx 缔结
dijy 敌军
dijz 嫡觉
dika 涤卡
dike 迪科
dikg 地块
dikh 低开
dikj 地勘
dikl 低空
dikm 地坑
dikp 抵抗
dikr 抵扣
dikt 底宽
diku 底裤
dila 地蜡
dilb 抵临
dilc 地梁
dile 低了
dilf 低廉
dilg 低龄
dilh 抵赖
dili 地理
dilj 低栏
dilk 地牢
dill 地龙
dilm 地塄
dilo 低落
dilq 第六
dilr 地漏
dilu 地炉
dilw 地雷
dily 涤纶
dilz 低劣
dima 底码
dimb 迪民
dimf 地面
dimg 地名
dimh 地脉
dimi 低迷
dimj 地幔
dimk 地貌
dimm 缔盟
dimn 帝门
dimo 地膜
dimu 地亩
dimw 弟妹
dina 蒂娜
dinm 低能
dint 地暖
dipb 低频
dipf 底片
dipg 地平
diph 底牌
dipi 地皮
dipj 地盘
dipo 堤坡
dipu 地铺
dipw 地陪
diqb 地勤
diqd 地壳
diqg 迪庆
diqh 的确
diqi 第七
diqq 地球
diqu 地区
diqy 敌群
dire 地热
diri 抵日
dirn 敌人
dirr 低柔
diru 滴入
disa 涤纱
dise 底色
diseo 弟摄
dish 抵塞
disi 第四
disiu 第十
disj 第三
disju 低山
disk 低烧
disl 递送
dism 低声
disn 地参
diso 蒂索
disoe 地说
disp 地上
disr 敌手
diss 地刷
disu 低速
disuo 底数
disuu 低俗
disv 地税
dite 迪特
ditg 迪厅
dith 敌台
ditj 地毯
dito 蒂托
ditp 低糖
ditr 低头
ditu 地图
ditv 递推
ditx 地铁
dive 帝俄
divh 低矮
divj 堤岸
divk 迪奥
divn 迪恩
divp 低昂
divu 第二
diwa 低洼
diwj 滴丸
diwn 低温
diwo 敌我
diwp 帝王
diwu 第五
diww 地位
dixb 底薪
dixd 抵消
dixf 底线
dixg 地形
dixh 滴血
dixi 底细
dixl 弟兄
dixs 地下
dixx 低些
dixy 迪浔
diya 抵押
diyb 低音
diye 帝业
diyh 缔约
diyi 第一
diyj 递延
diyk 低腰
diyp 低氧
diyr 敌友
diyt 地缘
diyu 低于
diyue 地狱
diyv 低于
diyve 地狱
diyy 底蕴
diyz 缔约
dizc 低庄
dize 低着
dizh 抵债
dizhe 地在
dizi 地址
dizio 弟子
dizj 地毡
dizk 缔造
dizl 地中
dizm 递增
dizme 地政
dizn 地震
dizo 底座
dizp 抵账
dizr 低走
dizt 地砖
dizu 地主
dizv 骶椎
dizve 抵罪
djba 但把
djbd 独家报道
djbf 单边
djbfe 打击报复
djbg 单兵
djbh 蛋白
djbi 单笔
djbk 担保
djbn 单本
djbo 淡泊
djboo 单薄
djbp 单帮
djbu 但不
djbua 登记簿
djbw 但被
djc 大检查
djca 淡茶
djcb 断简残编
djce 单车
djcea 登记册
djceo 单侧
djceu 第九册
djcf 党纪处分
djch 淡菜
djcho 单拆
djci 单词
djciu 丹墀
djciuu 第九次
djcj 单产
djck 单槽
djcke 地锦草
djcki 电解槽
djcl 但从
djclo 单充
djcm 单层
djcmo 单程
djcn 诞辰
djcp 弹舱
djcpo 单场
djcpou 断简残篇
djct 单传
djcu 淡出
djcua 登记处
djcue 打基础
djcy 单纯
djcyo 度假村
djda 胆大
djdd 单调
djdf 大酒店
djdfo 定居点
djdg 淡定
djdga 对酒当歌
djdh 担待
djdi 单底
djdj 淡淡
djdk 弹道
djdke 打交道
djdl 丹东
djdle 大吉大利
djdlo 奠基典礼
djdm 蛋等
djdp 担当
djdq 大江东去
djdqi 电解电容器
djdt 单段
djdu 单独
djduu 多角度
djdv 但对
djdve 担架队
djdvea 打架斗殴
djdvee 打井队
djdx 单碟
djdxe 东京大学
djdy 单墩
djfa 单发
djfd 大将风度
djff 大家风范
djfj 但凡
djfm 丹凤
djfn 蛋粉
djfo 丹佛
djfp 单方
djfu 担负
djfw 氮肥
djfz 打击犯罪
djgc 单光
djge 单个
djgee 耽搁
djgeo 单格
djgf 党纪国法
djgh 但该
djgj 胆敢
djgk 蛋糕
djgl 大驾光临
djgli 电加工
djgm 但更
djgp 单杠
djgr 单钩
djgs 单褂
djgse 顶尖高手
djgt 胆管
djgv 单轨
djgvo 单晶硅
djgw 但给
djgx 大家闺秀
djhc 蛋黄
djhj 胆寒
djhk 单号
djhl 淡红
djhn 但很
djhs 淡化
djhse 杜鹃花
djhsea 董建华
djhso 定计划
djhsu 多极化
djht 单环
djhu 蜑户
djhv 但会
djhy 独具慧眼
djjc 丹江
djjd 单脚
djjdu 低级阶段
djjf 单间
djjh 旦角
djjhu 等价交换
djji 单机
djjie 顶尖级
djjio 淡季
djjl 殚精竭虑
djjle 大江健三郎
djjq 单就
djjs 单价
djjse 打家劫舍
djjt 蛋卷
djju 单据
djjv 单据
djjx 单节
djjxu 第九届
djjxui 独具匠心
djjy 但均
djjye 大将军
djjyu 独家经营
djjz 旦角
djka 单卡
djkaa 登机卡
djke 蛋壳
djkh 单开
djkj 单看
djkk 单靠
djkl 弹孔
djkm 弹坑
djkr 单口
djkra 登机口
djkru 丹江口
djks 等级考试
djku 单裤
djkv 但亏
djlb 但林
djlc 胆量
djlci 当家理财
djlcu 多剂量
djld 单聊
djldi 当机立断
djlf 单恋
djli 短距离
djlj 淡蓝
djlja 弹尽粮绝
djlu 单路
djlui 电焗炉
djlv 点击率
djlvi 电解铝
djlw 蛋类
djlx 单列
djly 单轮
djlye 戴九履一
djlz 胆略
djma 但马
djmb 疍民
djmf 单面
djmg 单名
djmh 丹麦
djmi 耽迷
djmj 诞谩
djmn 单门
djmo 淡漠
djmu 旦暮
djmw 但没
djna 但那
djnb 大江南北
djnf 第九年
djng 单宁
djnh 蛋奶
djnm 但能
djnp 胆囊
djnz 瘅疟
djpb 蛋品
djpf 弹片
djpfi 电教片
djpg 单凭
djph 单排
djpha 登机牌
djphe 挡箭牌
djpi 丹皮
djpo 胆魄
djpw 单配
djq 第九期
djqb 单亲
djqc 单枪
djqf 但前
djqg 丹青
djqh 但却
djqi 第九期
djql 地尽其力
djqq 但求
djqu 单曲
djque 杜集区
djqui 点军区
djqv 杜集区
djqvi 点军区
djqw 低级趣味
djqx 胆怯
djqy 诞群
djri 单日
djrj 淡然
djrm 但仍
djrn 担任
djrno 奠基人
