aaz AA制
dhx 电话线
dhxb 歹心
dhxbe 带薪
dhxc 带向
dhxd 代销
dhxde 戴孝
dhxf 带线
dhxfa 导火线
dhxg 代行
dhxh 带血
dhxhi 电化学
dhxj 大呼小叫
dhxs 带下
dhxse 大好形势
dhxu 代序
dhxuu 待续
dhxv 代序
dhxvu 待续
dhxx 带些
dhxxe 带血
dhxxu 代写
dhxxuo 代谢
dhxy 大话西游
dhxz 带血
dhxzi 电化学
dhy 的回忆
dhye 待业
dhyi 歹意
dhyiu 代议
dhyj 代言
dhyl 代用
dhyr 带有
dhys 大吼一声
dhyt 待援
dhyu 待遇
dhyue 带鱼
dhyuu 黛玉
dhyv 待遇
dhyve 带鱼
dhyvu 黛玉
dhyx 打回原形
dhyy 代孕
dhz 的孩子
dhzc 袋装
dhzce 带状
dhze 带着
dhzee 戴着
dhzei 呆着
dhzeu 待着
dhzf 党和政府
dhzh 呆在
dhzhe 带在
dhzhee 戴在
dhzhu 待在
dhzi 袋子
dhzie 带子
dhzii 呆滞
dhziia 呆子
dhziu 代之
dhziue 代职
dhziue 代指
dhzj 呆站
dhzl 岱宗
dhzm 的孩子们
dhzo 呆坐
dhzou 待做
dhzp 呆账
dhzpi 呆帐
dhzr 带走
dhzri 电话粥
dhzs 妒火中烧
dhzu 逮住
dhzue 带阻
dhzui 呆住
dhzuu 傣族
dib 地标
diba 第八
dibae 堤坝
dibai 迪吧
dibd 地表
dibde 地标
dibf 底边
dibg 敌兵
dibh 迪拜
dibj 地板
dibjo 底板
dibjou 底版
dibk 地堡
dibku 低保
dibn 底本
dibo 地波
dibu 地步
dibuo 底部
dibuoo 递补
dic 低处
dice 底册
dich 低彩
dici 地磁
dicj 地产
dicju 低产
dick 低潮
dicl 滴虫
dicm 底层
dicme 地层
dicmu 低层
dicn 低沉
dicp 低唱
dicpe 抵偿
dict 嫡传
dictu 低喘
dicu 地处
dicua 嫡出
dicue 抵触
dicuu 低处
dicv 低垂
did 嘀嗒
dida 抵达
didai 嘀嗒
didao 滴答
didd 低调
diddo 底掉
didf 地点
didfu 低点
didg 滴定
didh 地带
didi 弟弟
didie 地底
didii 嘀嘀
didio 滴滴
didiu 低低
didiue 低地
didk 地道
didku 低到
didl 地动
didle 地洞
didm 低等
didp 抵挡
didpo 涤荡
didpu 低档
didt 地段
didto 底端
didtu 低端
didu 帝都
diduu 低度
didv 敌对
dif 堤防
difm 地缝
difmu 低峰
difn 低分
difp 地方
difpe 堤防
difpea 提防
difpu 敌方
difu 地府
difuo 弟妇
difuu 低幅
difw 低飞
difwo 底肥
dig 敌国
dige 的哥
digeu 低格
digk 底稿
digl 地宫
digo 帝国
digou 敌国
digr 地沟
digs 地瓜
digt 滴管
digto 滴灌
digu 嘀咕
diguu 低估
diguuu 低谷
digv 地柜
digvo 递归
digw 递给
digy 地滚
dih 低回
dihc 地黄
dihco 帝皇
dihe 地核
dihea 缔合
dihh 敌害
dihk 帝号
dihku 低耗
diho 底货
dihr 低吼
dihru 敌后
diht 低缓
dihv 诋毁
dihvu 低回
dij 地价
dijb 递进
dijc 递降
dijd 地窖
dijda 缔交
dijde 地脚
dijdo 递交
dijf 低贱
dijfo 递减
dijfu 敌舰
dijg 地精
diji 低级
dijie 地基
dijiea 地级
dijiee 地极
dijiu 敌机
dijiuu 第几
dijq 第九
dijs 低价
dijse 地价
dijso 底架
dijsoa 递加
dijx 的姐
dijxa 缔结
dijxe 地界
dijxu 低阶
dijy 敌军
dik 地空
dikc 地矿
dike 迪克
dikg 地块
dikl 低空
dikle 地空
dikp 抵抗
dikr 敌寇
dikre 抵扣
diku 底裤
dil 滴泪
dila 滴蜡
dilae 地蜡
dild 底料
dile 低了
dilf 低廉
dilg 低龄
dilh 抵赖
dili 地里
dilie 地理
diliee 砥砺
dilieu 地利
dilio 帝力
dilk 地牢
dill 帝隆
dilo 滴落
dilou 低落
dilq 第六
dilqo 滴溜
dilr 底楼
dilre 地漏
dilu 的卢
dilw 地雷
dilwo 滴泪
dilx 低劣
dilxe 地裂
dily 涤纶
dim 低眉
dimf 地面
dimfe 抵免
dimfo 涤棉
dimfoe 底面
dimg 地名
dimge 抵命
dimh 地脉
dimi 低迷
dimiu 低靡
dimj 地幔
dimk 地貌
dimm 缔盟
dimo 地膜
dimou 笛膜
dimw 弟妹
dimwu 低眉
dinm 低能
dint 地暖
dip 底盘
dipb 低频
dipf 底片
dipg 地平
diph 底牌
dipha 嫡派
dipi 地皮
dipie 地痞
dipj 地盘
dipjo 底盘
dipu 地铺
dipw 低配
diq 地契
diqb 嫡亲
diqbe 地勤
diqd 地壳
diqg 敌情
diqh 的确
diqi 第七
diqie 地气
diqiee 地契
diqio 底气
diqioo 底漆
diqq 地球
diqt 地权
diqu 地区
diqv 地区
diqz 的确
dir 低热
dire 地热
direu 低热
dirn 敌人
dis 抵死
disa 地煞
dise 底色
disi 第十
disie 地势
disiee 抵死
disieo 地市
disiu 第四
disiue 的士
disiuo 敌视
disj 第三
disk 低烧
disl 递送
dism 低声
dismo 递升
dismu 笛声
diso 地锁
disp 地上
dispo 递上
dispoo 底商
disr 敌手
disre 抵受
disru 低手
disu 低俗
disue 地鼠
disuo 底数
disuu 低速
disv 滴水
disve 地税
disvo 递水
disy 嫡孙
dit 谛听
ditg 迪厅
ditgo 谛听
dith 敌台
dithe 地台
ditj 地毯
ditje 地摊
ditjee 地坛
ditju 低叹
ditjue 低碳
ditjue 敌探
ditl 低通
ditlu 低筒
dito 底托
ditp 低糖
ditr 低头
ditre 地头
ditu 地图
dituo 底图
dituoe 底土
ditv 递推
ditx 地铁
dive 低额
divh 低矮
divj 堤岸
divk 低凹
divu 第二
divuo 底儿
diw 低温
diwa 低洼
diwh 地外
diwn 地温
diwno 底纹
diwnu 低温
diwo 敌我
diwp 帝王
diwpe 地王
diwpi 睇望
diwu 第五
diwue 地物
diwuo 底物
diww 地位
diwwe 地委
diwwo 帝位
diwwu 低微
diwwuu 低位
dix 低胸
dixb 地心
dixbo 底薪
dixbu 低薪
dixd 抵消
dixdu 低效
dixdui 低啸
dixduu 低笑
dixf 底线
dixfe 地陷
dixfea 地线
dixfei 地县
dixfo 底限
dixfu 低限
dixg 地形
dixh 滴血
dixi 底细
dixia 嫡系
dixio 弟媳
dixiu 低息
dixiue 敌袭
dixl 弟兄
dixlu 低胸
dixs 地下
dixso 滴下
dixsoe 底下
dixsu 低下
dixx 滴血
dixxu 低些
dixz 滴血
diy 地衣
diya 抵押
diyau 低哑
diyaue 低压
diyb 低吟
diybu 低音
diye 帝业
diyg 敌营
diyh 帝曰
diyha 缔约
diyi 第一
diyie 地衣
diyiu 敌意
diyj 递烟
diyjo 递延
diyju 低咽
diyk 低腰
diyp 低氧
diyr 敌友
diyt 地缘
diyu 地狱
diyue 地域
diyueu 抵御
diyuu 低语
diyuue 低于
diyv 地狱
diyve 地域
diyveu 抵御
diyvu 低语
diyvue 低于
diyy 底蕴
diyz 帝曰
diyza 缔约
diz 帝制
dize 低着
dizeu 低折
dizh 抵债
dizi 地址
dizia 嫡子
dizie 地质
dizieu 抵制
dizio 弟子
dizioa 底子
diziou 帝制
diziu 低脂
diziua 笛子
dizk 缔造
dizm 递增
dizn 地震
dizo 底座
dizp 抵账
dizpa 嫡长
dizpe 地藏
dizpei 抵帐
dizr 地轴
dizt 地砖
dizu 地主
dizue 地租
dizuee 砥柱
dizueu 抵住
dizuo 滴注
dizv 抵罪
djb 大鸡巴
djbc 动机不纯
djbf 单边
djbfe 打击报复
djbg 单兵
djbga 蛋饼
djbh 蛋白
djbho 淡白
djbhoe 单摆
djbi 单笔
djbj 单板
djbjo 单击变双击
djbju 多键并击
djbk 担保
djbko 单肩包
djbn 单本
djbo 单薄
djboo 淡泊
djbooe 淡薄
djbooo 澹泊
djbp 单帮
djbpo 斗酒百篇
djbu 但不
djbuo 单步
djbuu 第几步
djbw 但被
djbx 但别
djbz 滴酒不沾
djc 的基础
djcc 点击此处
djce 单车
djceo 单侧
djcf 打简出繁
djch 淡彩
djci 单词
djcio 单次
djciu 第几次
djcj 胆颤
djcjo 单产
djcl 但从
djclo 单从
djcm 单程
djcme 担承
djcmo 单层
djcmoa 单继承
djcmoe 郸城
djcmu 多继承
djcn 诞辰
djcp 弹仓
djcpo 单场
djcpou 断简残篇
djcs 堆积成山
djcsu 的基础上
djcsue 的基础之上
djcu 淡出
djcue 打基础
djcuo 单出
djcw 低级错误
djcy 单纯
djcyo 度假村
djd 大家的
djda 胆大
djdae 大姐大
djdao 单打
djdd 单调
djde 当家的
djdei 当今的
djdf 大酒店
djdfu 第几点
djdg 淡定
djdga 对酒当歌
djdgao 蛋定
djdgu 但丁
djdh 担待
djdj 淡淡
djdja 蛋蛋
djdji 眈眈
djdjo 单单
djdk 弹道
djdke 打交道
djdko 单刀
djdku 胆道
djdl 丹东
djdle 大吉大利
djdp 但当
djdpe 担当
djdq 大江东去
djdu 单独
djduo 单精度
djduu 的角度
djduue 丹毒
djdv 但对
djdve 大奸大恶
djdvea 打架斗殴
djdx 单碟
djdxe 东京大学
djf 定积分
djfa 单发
djfb 独家发布
djfd 大将风度
djff 大家风范
djfj 但凡
djfjo 淡饭
djfjou 单反
djfju 胆矾
djfm 丹枫
djfmu 丹凤
djfo 丹佛
djfp 单方
djfu 担负
djfuo 单幅
djfw 单飞
djfwe 杜渐防微
djfwu 氮肥
djg 的结果
djge 耽搁
djgeo 单个
djgeu 的几个
djgeuu 第几个
djgf 党纪国法
djgj 胆敢
djgjo 单干
djgjoe 单杆
djgk 蛋糕
djgl 弹弓
djgle 大驾光临
djglo 单工
djgm 独家冠名
djgn 单根
djgo 单过
djgp 单杠
djgpe 担纲
djgt 胆管
djgtu 第几个问题
djgv 丹桂
djgvo 单轨
djgx 大家闺秀
djh 的机会
djhc 淡黄
djhca 蛋黄
djhe 单核
djheo 单盒
djhj 胆寒
djhk 单号
djhke 大家好
djhl 淡红
djhlu 丹红
djhn 但很
djhna 弹痕
djho 大家伙
djhp 单行
djhs 淡化
djhsa 蛋花
djhsu 多极化
djhsuu 氮化
djhv 但会
djhve 大家伙儿
djhveu 丁俊晖
djhvo 淡灰
djhw 低级黑
djhy 独具慧眼
djj 大将军
djjd 但觉
djjdo 单脚
djjdu 低级阶段
djjf 但见
djjfo 单间
djjfoo 单肩
djjfou 单件
djjfu 胆碱
djjh 旦角
djjhi 电锯惊魂
djjhu 等价交换
djji 单击
djjia 蛋鸡
djjiao 对讲机
djjie 豆浆机
djjio 淡季
djjioa 单骑
djjioe 单机
djjioe 单极
djjiou 单季
djjl 殚精竭虑
djjq 但就
djjqo 单就
djjs 担架
djjsa 弹夹
djjse 打家劫舍
djjso 单价
djjt 蛋卷
djjto 定焦镜头
djju 单据
djjue 大结局
djjuo 单局
djjuou 单句
djjv 单据
djjve 大结局
djjvo 单局
djjvou 单句
djjx 大姐姐
djjxu 独具匠心
djjxuu 第几届
djjz 旦角
djk 贷记卡
djka 单卡
djke 但可
djkea 弹壳
djkeae 蛋壳
djkeo 单科
djkeoi 单颗
djkj 单看
djkk 单靠
djkl 弹孔
djklo 单孔
djkm 弹坑
djkr 单口
djks 等级考试
djky 大家可以
djl 的距离
djlc 胆量
djlce 大家来找茬
djlci 点击量
djld 当机立断
djlf 单恋
djlfo 单练
djlfou 单链
djli 单例
djliu 短距离
djliui 等距离
djlj 淡蓝
djlja 弹尽粮绝
djlr 吊脚楼
djlu 单路
djlv 淡绿
djlvi 点击率
djlw 蛋类
djlx 单列
djly 单论
djlz 胆略
djm 第几名
djmf 单面
djmg 单名
djmh 丹麦
djmho 单买
djmhoe 单卖
djmn 单门
djmo 淡漠
djmoo 淡墨
djmooe 单模
djmooe 淡抹
djmu 弹幕
djmui 旦暮
djmw 耽美
djn 耽溺
djna 但那
djnb 大江南北
djni 丹尼
djnie 耽溺
djnm 但能
djnp 胆囊
djp 挡箭牌
djpf 弹片
djpfo 单片
djpfou 单篇
djpg 单凭
djpgo 单屏
djph 单排
djpi 蛋皮
djpo 胆魄
djq 代金券
djqb 单亲
djqc 单枪
djqg 丹青
djqga 蛋清
djqgo 淡青
djqgu 但请
djqh 但却
djqi 但其
djqie 担起
djqio 单骑
djqiu 氮气
djqq 但求
djqu 淡去
djquo 单曲
djquoe 单取
djqv 淡去
djqvo 单曲
djqvoe 单取
djqw 低级趣味
djqx 胆怯
djqz 但却
djqze 豆角茄子
djr 奠基人
djre 东京热
djri 单日
djrj 淡然
djrm 但仍
djrn 担任
djrno 单人
djro 但若
djrs 堆积如山
djru 但如
djruo 淡入
djrw 大家认为
djs 独角兽
djsa 单杀
djsau 丹砂
djsc 单双
djse 淡色
djseo 单色
djseoe 单摄
djseu 胆色
djsh 大奖赛
djsi 但是
djsie 地级市
djsieu 垫脚石
djsio 单是
djsioe 奠基石
djsiu 倒计时
djsiua 胆结石
djsiuo 胆识
djsiuu 箪食
djsl 短斤少两
djsm 诞生
djsn 单身
djsnu 的精神
djsnua 丹参
djso 单说
djsp 担惊受怕
djsq 睹景伤情
djsr 单手
djss 大惊失色
djst 胆酸
djsu 单数
djsuo 单速
djsuu 丹书
djsv 淡水
djsva 蛋碎
djsz 对镜梳妆
djsze 豆角烧茄子
djt 大家庭
djta 但他
djtaa 蛋挞
djtai 电吉他
djtau 但她
djtauo 但它
djtc 地久天长
djtd 单挑
djtf 丹田
djtfu 第几天
djth 单态
djti 单体
djtl 但同
djtlo 单通
djtm 蛋疼
djtp 蛋汤
djtpe 毒鸡汤
djtpo 单糖
djtpoe 单趟
djtr 弹头
djts 独具特色
djtv 单腿
djty 地角天涯
djtz 到今天为止
djvg 待价而沽
djw 等价物
djwj 弹丸
djwo 但我
djwp 淡忘
djwpo 淡旺
djws 顶级外设
djwt 敌进我退
djwu 耽误
djwuu 但无
djww 单位
djwwu 但未
djwy 顶级外设达尔优
djwz 大局为重
djx 独角戏
djxb 担心
djxbu 丹心
djxc 单向
djxco 单项
djxd 胆小
djxf 单线
djxfa 对角线
djxfo 单弦
djxfoi 单显
djxg 大惊小怪
djxh 打鸡血
djxi 单膝
djxii 旦夕
djxm 单休
djxq 单休
djxs 弹匣
djxsu 丹霞
djxt 单选
djxu 但须
djxv 但须
djxx 打鸡血
djxxe 大街小巷
djxxu 多加小心
djxz 打鸡血
djy 斗鸡眼
djya 淡雅
djyb 但因
djybo 单音
djyboa 单引
djyc 等价有偿
djyd 大局已定
djye 但也
djyeo 单页
djyg 但应
djygu 独具一格
djyh 淡月
djyhe 打击乐
djyho 单月
djyi 但已
djyio 单一
djyioa 单翼
djyioo 单衣
djyj 单眼
djyje 都江堰
djyk 弹药
djyko 定睛一看
djyku 丹药
djyl 单用
djyp 丹阳
djyq 打击乐器
djyr 担忧
djyre 打酱油
djyru 但又
djyrue 但有
djyt 但愿
djyto 淡远
djytoe 单元
djytu 剁椒鱼头
djyu 弹雨
djyue 耽于
djyuu 多见于
djyv 弹雨
djyve 耽于
djyvu 多见于
djyx 单机游戏
djyz 淡月
djyze 打击乐
djyzo 单月
djz 大舅子
djzb 点睛之笔
djzc 淡妆
djzd 大家知道
djzdu 等级制度
djze 但这
djzeo 奠基者
djzf 度君子之腹
djzg 斗鸡走狗
djzh 但在
djzi 胆子
djzia 弹子
djzie 担子
djziea 掸子
djzii 电解质
djzio 淡紫
djzioa 单子
djzioe 单指
djzioe 淡芝
djzioi 单只
djzioo 单字
djziou 单质
djziu 胆汁
djzj 胆战
djzl 单重
djzlu 第几种
djzm 单证
djzmi 当局者迷
djzmo 单增
djzp 单张
djzr 单周
djzre 带节奏
djzs 大加赞赏
djzt 待机状态
djzu 弹珠
djzw 答记者问
djzz 当家作主
djzzi 当家做主
dkb 刀把
dkba 刀疤
dkbaa 刀把
dkbb 大可不必
dkbf 道边
dkbg 刀柄
dkbga 刀兵
dkbh 道白
dkbi 倒闭
dkbiu 倒毙
dkbj 盗版
dkbju 倒班
dkbo 导播
dkbs 动口不动手
dkbw 刀背
dkbx 道别
dkc 大卡车
dkca 倒茶
dkcaa 刀叉
dkcao 道岔
dkce 倒车
dkcee 大客车
dkceo 盗车
dkch 道菜
dkchu 倒彩
dkci 到此
dkcie 捣持
dkcieu 捯饬
dkcio 悼词
dkciu 倒刺
dkck 稻草
dkcm 岛城
dkco 倒错
dkcp 到场
dkcpo 道场
dkcr 倒抽
dkcu 到处
dkcua 导出
dkcuo 道出
dkcuu 倒出
dkd 导电
dkda 到达
dkdd 倒掉
dkde 道德
dkdf 到点
dkdfa 导电
dkdg 到顶
dkdh 倒带
dkdhe 大开大合
dkdi 到底
dkdiu 倒地
dkdj 导弹
dkdje 捣蛋
dkdk 叨叨
dkdl 盗洞
dkdr 刀豆
dkdu 导读
dkdy 大快朵颐
dkf 的看法
dkfa 刀法
dkfao 道法
dkfm 刀锋
dkfme 大开方便之门
dkfp 到访
dkfs 打开方式
dkfu 到府
dkfua 刀斧
dkfue 到付
dkfuo 道服
dkfuu 倒伏
dkfw 盗匪
dkfx 大可放心
dkg 倒戈
dkgc 道光
dkgca 刀光
dkge 刀割
dkgeu 倒戈
dkgk 祷告
dkgl 刀工
dkgo 到过
dkgou 岛国
dkgr 导购
dkgs 倒挂
dkgt 道观
dkgta 导管
dkgu 稻谷
dkgue 捣鼓
dkgui 叨咕
dkguo 道姑
dkgv 捣鬼
dkgva 导轨
dkgz 低开高走
dkh 大客户
dkhe 道贺
dkhj 盗汗
dkhk 倒好
dkhke 大括号
dkhko 盗号
dkhn 刀痕
dkho 到货
dkhoa 导火
dkhp 道行
dkhpa 导航
dkhs 稻花
dkhsu 多快好省
dkht 倒换
dkhu 导护
dkhv 到会
dkhve 捣毁
dkhvu 倒回
dkj 打卡机
dkjb 倒进
dkjd 道教
dkjdu 倒角
dkjdue 岛礁
dkjf 刀剑
dkjfa 刀尖
dkjfau 刀箭
dkjh 盗掘
dkji 倒计
dkjie 打孔机
dkjm 打开局面
dkjq 倒酒
dkjs 到家
dkjsa 刀架
dkjso 道家
dkju 道具
dkjua 刀具
dkjuau 刀锯
dkjv 道具
dkjva 刀具
dkjvau 刀锯
dkjz 盗掘
dkk 倒扣
dkke 刀客
dkkea 刀刻
dkkj 道坎
dkkja 导刊
dkkr 刀口
dkkru 倒扣
dkku 倒库
dkl 多亏了
dklb 到临
dkld 大开绿灯
dkle 到了
dkleu 倒了
dklf 岛链
dklfo 盗链
dklh 到来
dklho 道来
dkli 道理
dklie 抵抗力
dklio 道里
dkliu 倒立
dklj 导览
dklk 到老
dklo 倒落
dkloa 刀落
dklp 刀郎
dklq 倒流
dklt 捣乱
dklu 道路
dkluo 盗录
dkly 导论
dkm 导盲
dkmb 岛民
dkmf 刀面
dkmg 盗名
dkmh 倒卖
dkmi 稻米
dkmj 倒满
dkmk 道貌
dkmn 道门
dkmo 倒模
dkmp 倒忙
dkmpa 导盲
dkms 顿开茅塞
dkmu 盗墓
dkmw 倒霉
dkmwu 倒楣
dkn 的可能
dkna 到那
dknaa 导纳
dknae 到哪
dknd 导尿
dknf 悼念
dknfi 叨念
dknh 豆蔻年华
dknl 抵抗能力
dknli 迪卡侬
dknm 都可能
dknw 岛内
dknx 的可能性
dknz 迪克牛仔
dkpb 导频
dkpd 倒票
dkpf 刀片
dkpi 刀劈
dkpk 道袍
dkpo 道破
dkpp 道旁
dkpw 倒赔
dkq 读卡器
dkqc 刀枪
dkqd 刀鞘
dkqf 道歉
dkqi 到齐
dkqie 到期
dkqiea 打孔器
dkqj 丢盔弃甲
dkqu 盗取
dkqv 盗取
dkqx 盗窃
dkqxa 刀切
dkr 导入
dkre 导热
dkrk 叨扰
dkrn 到任
dkrna 刀刃
dkru 倒入
dkrua 导入
dkrx 大快人心
dks 打瞌睡
dkse 盗摄
dksi 倒是
dksia 导师
dksiao 导视
dksie 到时
dksiee 到死
dksio 道是
dksioe 道士
dksiu 德克士
dksj 刀山
dksje 大开杀戒
dksm 道声
dksn 刀身
dksp 道上
dkspa 刀伤
dkspu 岛上
dksr 到手
dksru 倒手
dkss 盗刷
dkssu 得克萨斯
dkssue 德克萨斯
dkst 捣蒜
dksu 倒数
dksua 导数
dksuo 道术
dksuu 倒竖
dksv 倒水
dksve 捣碎
dksvu 稻穗
dkt 捣腾
dkta 倒塌
dktaa 刀塔
dktf 稻田
dktg 到庭
dkth 倒台
dkthe 打开天窗说亮话
dkti 道题
dktia 导体
dktl 道统
dktla 导通
dktm 倒腾
dktme 捣腾
dktr 到头
dktra 刀头
dktru 倒头
dktu 导图
dktuo 盗图
dktv 倒退
dktx 倒贴
dktxa 刀口舔血
dkv 笛卡尔
dkvc 夺眶而出
dkvj 到岸
dkvjo 盗案
dkvk 敦刻尔克
dkvu 笛卡儿
dkw 悼文
dkwj 到晚
dkwn 祷文
dkwno 悼文
dkwp 悼亡
dkww 到位
dkwz 大块文章
dkx 对抗性
dkxc 导向
dkxci 电烤箱
dkxcu 倒向
dkxcuu 稻香
dkxd 到校
dkxda 刀削
dkxf 导线
dkxfe 打开心扉
dkxh 道学
dkxi 倒吸
dkxio 道喜
dkxj 丢盔卸甲
dkxs 倒下
dkxsa 刀下
dkxsai 对口相声
dkxso 单口相声
dkxt 倒悬
dkxu 倒叙
dkxuu 倒序
dkxv 倒叙
dkxvu 倒序
dkxx 道谢
dkxz 道学
dky 都可以
dkyb 导引
dkybo 盗印
dkyc 大哭一场
dkye 倒也
dkyeu 倒爷
dkyg 倒影
dkygu 倒映
dkyi 道义
dkyie 大可以
dkyj 导演
dkyja 导言
dkyje 大开眼界
dkyjo 灯枯油尽
dkyk 倒要
dkyl 盗用
dkyr 导游
dkyro 道友
dkyru 倒有
dkyt 导员
dkyu 岛屿
dkyua 导语
dkyv 岛屿
dkyva 导语
dkyve 都可以啊
dkz 稻子
dkzc 倒装
dkzh 倒在
dkzi 导致
dkzia 刀子
dkzie 到职
dkziu 倒置
dkziua 稻子
dkzj 到站
dkzp 道长
dkzpe 到账
dkzpu 倒账
dkzr 盗走
dkzt 倒转
dkztu 等宽字体
dkzu 岛主
dkzua 刀俎
dkzv 倒追
dkzw 盗贼
dlam 哆啦A梦
dlb 大老板
dlba 得了吧
dlbb 动宾
dlbd 电流表
dlbf 东边
dlbg 动兵
dlbgo 冻冰
dlbi 动笔
dlbio 洞壁
dlbj 电路板
dlbk 大礼包
dlbku 独立博客
dlbl 的黎波里
dlbr 得理不饶人
dlbu 东部
dlbw 东北
dlby 得来不易
dlc 大老粗
dlca 洞察
dlcc 冻疮
dlce 东侧
dlcee 动车
dlceo 洞彻
dlceu 独轮车
dlch 冬菜
dlci 动词
dlcj 动产
dlcm 东城
dlcp 冬藏
dlct 洞穿
dlcu 动粗
dlcy 冬春
dld 大量的
dlda 洞达
dldd 多劳多得
dlde 懂得
dldee 东德
dldeo 懂的
dldf 懂点
dldfe 颠鸾倒凤
dldj 东单
dldk 动刀
dldke 东道
dldl 东东
dldli 咚咚
dldlo 洞洞
dldo 多伦多
dldp 动荡
dldq 踱来踱去
dldqe 颠来倒去
dldqu 独揽大权
dlds 定了定神
dldt 东端
dldti 点了点头
dldu 东渡
dldw 独来独往
dldy 顿了顿
dlf 冬风
dlfa 懂法
dlfh 堕落腐化
dlfm 东风
dlfmu 冬风
dlfp 东方
dlfpo 洞房
dlfr 独立法人
dlfs 独领风骚
dlfu 洞府
dlfw 东非
dlfx 定量分析
dlfz 大力发展
dlg 第六感
dlgc 东光
dlgh 打了个电话
dlghe 打了个招呼
dlgj 动感
dlgju 第六感觉
dlgjua 得力干将
dlgjue 段落感
dlgl 东宫
dlgle 动工
dlgm 冬耕
dlgo 动过
dlgoe 东郭
dlgs 冬瓜
dlgt 东莞
dlgte 大炼钢铁
dlh 丢了魂
dlhc 动力火车
dlhd 雕梁画栋
dlhh 东海
dlhho 冻害
dlhj 东汉
dlhja 叠罗汉
dlhje 地理环境
dlhju 冬寒
dlhk 董浩
dlhl 狄里赫利
dlhm 度量衡
dlho 大路货
dlhp 懂行
dlhs 动画
dlhse 东华
dlhsee 大丽花
dlhsi 蝶恋花
dlhsu 低龄化
dlht 东环
dlhu 东湖
dlhue 大老虎
dlhx 大连海事大学
dlj 邓丽君
dljb 东晋
dljc 冻僵
dljd 东郊
dljdo 冻脚
dljf 洞见
dljg 动静
dljge 东京
dljgea 东经
dljgu 冬景
dlji 动机
dljiu 冬季
dljq 大力加强
dljs 东家
dljse 大陆架
dlju 电力局
dljv 电力局
dljx 冻结
dljxu 冬节
dljz 大力金刚指
dlk 地理课
dlkh 洞开
dlko 东扩
dlkr 洞口
dlkre 东口
dlkrei 动口
dlku 洞窟
dlkz 大力开展
dll 的力量
dlla 懂啦
dllae 杜拉拉
dllaee 大剌剌
dllb 东临
dllc 栋梁
dllce 动量
dlle 懂了
dllee 带来了
dllg 东陵
dllgo 冻龄
dllgu 冬令
dlli 动力
dllio 洞里
dlll 独乐乐不如众乐乐
dllm 达赖喇嘛
dllmu 丢雷楼谋
dllq 东流
dllr 栋楼
dlls 代理律师
dllse 地理老师
dllt 动乱
dllu 东路
dllv 低利率
dllx 大咧咧
dllxe 大连理工大学
dlm 杜鲁门
dlmb 顶礼膜拜
dlmf 东面
dlmfa 对立面
dlmfe 打卤面
dlmfu 冬眠
dlmg 洞明
dlmga 登录名
dlmh 动脉
dlmhu 冬麦
dlmi 哆来咪
dlmj 动漫
dlmje 掉了毛的凤凰不如鸡
dlmk 懂礼貌
dlmm 东盟
dlmn 东门
dlmo 冬末
dlmw 冬梅
dlmz 戴绿帽子
dlnf 动念
dlni 懂你
dlnj 东南
dlnk 动脑
dlnm 动能
dlnu 动怒
dlnw 洞内
dlp 大脸盘
dlpg 得了便宜还卖乖
dlpgu 得了便宜卖乖
dlpo 东坡
dlq 打篮球
dlqd 电流强度
dlqf 动迁
dlqfu 得来全不费功夫
dlqfue 得来全不费工夫
dlqg 动情
dlqge 董卿
dlqgu 冬青
dlqgui 等量齐观
dlqi 动气
dlql 多了去了
dlqn 大龄青年
dlqt 动圈
dlqu 东区
dlque 东去
dlquee 东丽区
dlqv 东区
dlqve 东去
dlqvee 东丽区
dlr 代理人
dlrb 迪丽热巴
dlrh 地利人和
dlri 冬日
dlriu 独立日
dlrl 动容
dlrn 动人
dlrne 大陆人
dls 大理石
dlsb 大力神杯
dlsc 大陆市场
dlsd 大连实德
dlsg 打落水狗
dlsi 懂事
dlsie 大力士
dlsiee 大连市
dlsiee 董事
dlsiee 杜蕾斯
dlsieo 东施
dlsio 冻死
dlsiu 冬令时
dlsj 东山
dlsk 独立思考
dlsko 单联双控
dlsm 东升
dlsme 达累斯萨拉姆
dlsn 动身
dlsne 大力神
dlsnei 大龄剩女
dlsp 冻伤
dlspu 代理商
dlsr 动手
dlsro 冻手
dlss 大力水手
dlsse 大撸伤身
dlst 锻炼身体
dlsy 冬笋
dlt 大礼堂
dlte 杜兰特
dltf 冬天
dltfo 洞天
dltg 动听
dltgo 洞庭
dlth 动态
dlthe 地老天荒
dlti 胴体
dltiu 独联体
dltj 动弹
dltje 大力推进
dltr 大乐透
dlts 大浪淘沙
dltu 动图
dltue 动土
dltui 电路图
dltuo 冻土
dltx 电烙铁
dlty 对立统一
dlvj 东岸
dlvk 冬奥
dlvr 东欧
dlw 电力网
dlwg 独立王国
dlwo 动卧
dlwp 道路网
dlws 得陇望蜀
dlwu 动物
dlwue 东吴
dlwuee 动武
dlww 东魏
dlwz 地理位置
dlx 的联系
dlxb 动心
dlxc 动向
dlxce 东拉西扯
dlxcea 大力宣传
dlxd 洞箫
dlxdo 洞晓
dlxf 东线
dlxfu 冬闲
dlxg 冻醒
dlxga 对立性
dlxgu 独立性
dlxgua 丢了西瓜
dlxh 洞穴
dlxhe 地理学
dlxhea 动力学
dlxhu 冬雪
dlxi 东西
dlxio 洞悉
